name,diet,length,type,period_id,location_id,taxonomy_id,species_id
aardonyx,herbivorous,8.0m,sauropod,1,1,1,1
abelisaurus,carnivorous,9.0m,large theropod,2,2,2,2
achelousaurus,herbivorous,6.0m,ceratopsian,3,3,3,3
achillobator,carnivorous,5.0m,large theropod,4,4,4,4
acrocanthosaurus,carnivorous,12.0m,large theropod,5,3,5,5
aegyptosaurus,herbivorous,15.0m,sauropod,6,5,6,6
afrovenator,carnivorous,9.0m,large theropod,7,6,7,7
agilisaurus,herbivorous,1.5m,euornithopod,8,7,8,8
alamosaurus,herbivorous,21.0m,sauropod,9,3,9,9
albertaceratops,herbivorous,7.0m,ceratopsian,10,3,10,10
albertosaurus,carnivorous,9.0m,large theropod,11,8,11,11
alectrosaurus,carnivorous,5.0m,large theropod,12,4,12,12
alioramus,carnivorous,6.0m,large theropod,13,4,12,13
allosaurus,carnivorous,12.0m,large theropod,14,3,13,14
alvarezsaurus,carnivorous,2.0m,small theropod,15,2,14,15
amargasaurus,herbivorous,12.0m,sauropod,16,2,15,16
ammosaurus,herbivorous,5.0m,sauropod,17,3,16,17
ampelosaurus,herbivorous,15.0m,sauropod,13,9,9,18
amygdalodon,herbivorous,15.0m,sauropod,18,2,17,19
anchiceratops,herbivorous,6.0m,ceratopsian,2,8,18,20
anchisaurus,herbivorous,2.0m,sauropod,19,3,16,21
ankylosaurus,herbivorous,7.0m,armoured dinosaur,20,3,19,22
anserimimus,carnivorous,3.5m,large theropod,21,4,20,23
antarctosaurus,herbivorous,18.0m,sauropod,21,10,9,24
apatosaurus,herbivorous,21.0m,sauropod,22,3,21,25
aragosaurus,herbivorous,18.0m,sauropod,7,11,17,26
aralosaurus,herbivorous,8.0m,euornithopod,23,12,22,27
archaeoceratops,herbivorous,1.3m,ceratopsian,24,7,23,28
archaeopteryx,carnivorous,0.5m,small theropod,25,13,24,29
archaeornithomimus,carnivorous,3.5m,small theropod,26,14,20,30
argentinosaurus,herbivorous,35.0m,sauropod,27,2,6,31
arrhinoceratops,herbivorous,6.0m,ceratopsian,28,8,18,32
atlascopcosaurus,herbivorous,3.0m,euornithopod,29,15,8,33
aucasaurus,carnivorous,5.0m,large theropod,30,2,25,34
austrosaurus,herbivorous,15.0m,sauropod,31,15,6,35
avaceratops,herbivorous,2.3m,ceratopsian,10,3,3,36
avimimus,omnivorous,1.5m,small theropod,10,4,26,37
bactrosaurus,herbivorous,6.0m,euornithopod,30,7,27,38
bagaceratops,herbivorous,1.0m,ceratopsian,32,4,28,39
bambiraptor,carnivorous,1.0m,small theropod,30,3,4,40
barapasaurus,herbivorous,14.0m,sauropod,33,16,29,41
barosaurus,herbivorous,24.0m,sauropod,34,3,21,42
baryonyx,carnivorous,10.0m,large theropod,35,17,30,43
becklespinax,carnivorous,5.0m,large theropod,36,17,31,44
beipiaosaurus,omnivorous,2.0m,small theropod,37,7,32,45
bellusaurus,herbivorous,5.0m,sauropod,38,7,33,46
borogovia,carnivorous,1.5m,small theropod,21,4,34,47
brachiosaurus,herbivorous,30.0m,sauropod,39,3,35,48
brachylophosaurus,herbivorous,7.0m,euornithopod,40,3,22,49
brachytrachelopan,herbivorous,10.0m,sauropod,41,2,15,50
buitreraptor,carnivorous,1.3m,small theropod,42,2,36,51
camarasaurus,herbivorous,23.0m,sauropod,43,3,37,52
camptosaurus,herbivorous,5.0m,euornithopod,34,3,38,53
carcharodontosaurus,carnivorous,15.0m,large theropod,44,18,5,54
carnotaurus,carnivorous,7.6m,large theropod,45,2,39,55
caudipteryx,omnivorous,1.0m,small theropod,46,7,40,56
cedarpelta,herbivorous,10.0m,armoured dinosaur,47,3,19,57
centrosaurus,herbivorous,6.0m,ceratopsian,11,8,3,58
ceratosaurus,carnivorous,6.0m,large theropod,48,3,41,59
cetiosauriscus,herbivorous,15.0m,sauropod,49,17,42,60
cetiosaurus,herbivorous,18.0m,sauropod,50,17,29,61
chaoyangsaurus,herbivorous,1.1m,ceratopsian,51,7,23,62
chasmosaurus,herbivorous,5.0m,ceratopsian,11,8,18,63
chindesaurus,carnivorous,4.0m,small theropod,52,3,43,64
chinshakiangosaurus,herbivorous,11.0m,sauropod,53,7,44,65
chirostenotes,omnivorous,1.7m,small theropod,54,8,45,66
chubutisaurus,herbivorous,23.0m,sauropod,31,2,6,67
chungkingosaurus,herbivorous,4.0m,armoured dinosaur,53,7,46,68
citipati,omnivorous,2.1m,small theropod,55,4,47,69
coelophysis,carnivorous,2.0m,small theropod,56,19,48,70
coelurus,carnivorous,1.8m,small theropod,34,3,49,71
coloradisaurus,omnivorous,4.0m,sauropod,57,2,50,72
compsognathus,carnivorous,0.65m,small theropod,58,13,51,73
conchoraptor,carnivorous,1.5m,small theropod,59,4,52,74
confuciusornis,carnivorous,0.25m,small theropod,37,7,53,75
corythosaurus,herbivorous,10.0m,euornithopod,11,3,54,76
cryolophosaurus,carnivorous,8.0m,large theropod,60,20,55,77
dacentrurus,herbivorous,6.0m,armoured dinosaur,61,17,56,78
daspletosaurus,carnivorous,9.0m,large theropod,11,8,57,79
datousaurus,herbivorous,15.0m,sauropod,62,7,44,80
deinocheirus,omnivorous,10.0m,large theropod,63,4,58,81
deinonychus,carnivorous,3.0m,small theropod,64,3,4,82
deltadromeus,carnivorous,8.1m,large theropod,65,21,49,83
dicraeosaurus,herbivorous,20.0m,sauropod,66,22,15,84
dilophosaurus,carnivorous,6.0m,large theropod,19,3,59,85
diplodocus,herbivorous,26.0m,sauropod,34,3,21,86
dromaeosaurus,carnivorous,1.8m,small theropod,11,3,4,87
dromiceiomimus,omnivorous,3.5m,large theropod,2,8,20,88
dryosaurus,herbivorous,4.0m,euornithopod,39,3,60,89
dryptosaurus,carnivorous,6.4m,large theropod,21,3,12,90
dubreuillosaurus,carnivorous,,large theropod,67,9,7,91
edmontonia,herbivorous,4.0m,armoured dinosaur,11,8,61,92
edmontosaurus,herbivorous,13.0m,euornithopod,68,8,22,93
einiosaurus,herbivorous,6.0m,ceratopsian,69,3,3,94
elaphrosaurus,carnivorous,6.2m,large theropod,70,22,41,95
emausaurus,herbivorous,2.0m,armoured dinosaur,71,13,62,96
eolambia,herbivorous,,euornithopod,65,3,63,97
eoraptor,carnivorous,1.0m,small theropod,72,2,64,98
eotyrannus,carnivorous,5.0m,large theropod,37,17,12,99
equijubus,herbivorous,,euornithopod,73,7,63,100
erketu,herbivorous,15.0m,sauropod,74,4,6,101
erlikosaurus,omnivorous,3.4m,small theropod,75,4,65,102
euhelopus,herbivorous,10.0m,sauropod,76,7,17,103
euoplocephalus,herbivorous,7.0m,armoured dinosaur,77,3,19,104
europasaurus,herbivorous,6.2m,sauropod,70,13,33,105
eustreptospondylus,carnivorous,7.0m,large theropod,78,17,7,106
fukuiraptor,carnivorous,4.2m,large theropod,24,23,55,107
fukuisaurus,herbivorous,4.7m,euornithopod,24,23,63,108
gallimimus,omnivorous,6.0m,large theropod,2,4,20,109
gargoyleosaurus,herbivorous,4.0m,armoured dinosaur,76,3,66,110
garudimimus,omnivorous,4.7m,large theropod,75,4,58,111
gasosaurus,carnivorous,4.0m,small theropod,50,7,67,112
gasparinisaura,herbivorous,0.8m,euornithopod,79,2,8,113
gastonia,herbivorous,4.6m,armoured dinosaur,47,3,66,114
giganotosaurus,carnivorous,12.5m,large theropod,80,2,5,115
gilmoreosaurus,herbivorous,6.0m,euornithopod,77,7,27,116
giraffatitan,herbivorous,23.0m,sauropod,76,22,35,117
gobisaurus,herbivorous,5.0m,armoured dinosaur,24,7,19,118
gorgosaurus,carnivorous,8.6m,large theropod,81,3,11,119
goyocephale,herbivorous,2.0m,large theropod,55,4,68,120
graciliceratops,herbivorous,,ceratopsian,4,4,23,121
gryposaurus,herbivorous,10.0m,euornithopod,79,3,22,122
guaibasaurus,herbivorous,1.8m,small theropod,57,24,64,123
guanlong,carnivorous,3.0m,small theropod,82,7,12,124
hadrosaurus,herbivorous,9.0m,euornithopod,83,3,22,125
hagryphus,omnivorous,3.0m,small theropod,84,25,69,126
haplocanthosaurus,herbivorous,21.5m,sauropod,76,3,37,127
harpymimus,omnivorous,2.0m,small theropod,24,4,58,128
herrerasaurus,carnivorous,3.0m,small theropod,72,2,43,129
