named_by,naming_id
Yates Bonnan Neveling Chinsamy and Blackbeard 2010 (2009),1
Bonaparte and Novas (1985),2
Sampson  (1995),3
Perle Norell and Clark (1999),4
Stovall and Langston (1950),5
Stromer (1932),6
Sereno Wilson Larsson Dutheil and Sues (1944),7
Peng (1990),8
Gilmore (1922),9
Ryan 2007,10
Lamb (1914),11
Gilmore (1933),12
Kurzanov (1976),13
Marsh (1877),14
Bonaparte (1991),15
Salgado and Bonaparte (1991),16
Marsh (1891),17
Le Loeuff (1995),18
Cabrera (1947),19
Brown (1914),20
Marsh (1885),21
Brown (1908),22
Barsbold (1988),23
von Huene (1929),24
Sanz Buscalioni Casanovas and Sanafé (1987),25
Rozhdestvensky (1968),26
Dong and Azuma (1987),27
Mayer (1861),28
Russell (1972),29
Bonaparte and Coria (1993),30
Parks (1925),31
Rich and Rich (1989),32
Coria Chiappe and Dingus (2002),33
Longman (1933),34
Dodson (1986),35
Kurzanov (1981),36
Maryanska and Osmolska (1975),37
Burnham Derstler Currie Bakker Zhou and Ostrom (2000),38
Jain Kutty Roy-Chowdhury and Chatterjee (1975),39
Marsh (1890),40
Charig and Milner (1987),41
Paul (1988),42
Xu Tang and Wang (1999),43
Dong and Azuma (1990),44
Osmólska (1987),45
Riggs (1903),46
C. M. Sternberg (1953),47
Rauhut Remes Fechner Cladera and Puerta (2005),48
Makovicky Apesteguía &amp; Agnolin (2005),49
Cope (1877),50
Stromer (1931),51
Bonaparte (1985),52
Ji Currie Norell and Ji. (1998),53
Carpenter Kirkland Burge and Bird (2001),54
apertus,55
Marsh (1884),56
von Huene (1927),57
Phillips (1871),58
Zhao Cheng and Xu (1999),59
belli,60
Long and Murry (1995),61
Yeh (1975),62
Gilmore (1924),63
Corro (1974),64
Dong Zhou and Zhang (1983),65
Clark Norell and Barsbold (2001),66
bauri,67
Marsh (1879),68
Bonaparte (1978),69
Wagner (1859),70
Barsbold (1986),71
Hou Zhou Gu and Zhang (1995),72
