period,period_id
Early Jurassic 199-189 million years ago,1
Late Cretaceous 74-70 million years ago,2
Late Cretaceous 83-70 million years ago,3
Late Cretaceous 99-84 million years ago,4
Early Cretaceous 115-105 million years ago,5
Late Cretaceous 98-93 million years ago,6
Early Cretaceous 132-121 million years ago,7
Late Jurassic 169-159 million years ago,8
Late Cretaceous 70-65 million years ago,9
Late Cretaceous 80-75 million years ago,10
Late Cretaceous 76-74 million years ago,11
Late Cretaceous 90-70 million years ago,12
Late Cretaceous 71-65 million years ago,13
Late Jurassic 156-144 million years ago,14
Late Cretaceous 89-85 million years ago,15
Early Cretaceous 132-127 million years ago,16
Early Jurassic 195-180 million years ago,17
Mid Jurassic 177-169 million years ago,18
Early Jurassic 190 million years ago,19
Late Cretaceous 74-67 million years ago,20
Late Cretaceous 84-65 million years ago,21
Late Jurassic 154-145 million years ago,22
Late Cretaceous 94-84 million years ago,23
Early Cretaceous 121-99 million years ago,24
Late Jurassic 147 million years ago,25
Late Cretaceous 95-70 million years ago,26
Late Cretaceous 90 million years ago,27
Late Cretaceous 72-67 million years ago,28
Early Cretaceous 121-97 million years ago,29
Late Cretaceous 84-71 million years ago,30
Early Cretaceous 112-99 million years ago,31
Late Cretaceous 85-80 million years ago,32
Early Jurassic 185-170 million years ago,33
Late Jurassic 155-145 million years ago,34
Early Cretaceous 125 million years ago,35
Early Cretaceous 142-132 million years ago,36
Early Cretaceous 127-121 million years ago,37
Mid Jurassic 180-159 million years ago,38
Late Jurassic 155-140 million years ago,39
Late Cretaceous 89-88 million years ago,40
Mid Jurassic 150 million years ago,41
Late Cretaceous 99-90 million years ago,42
Late Jurassic 150-140 million years ago,43
Late Cretaceous 98-94 million years ago,44
Late Cretaceous 70 million years ago,45
Early Cretaceous 125-122 million years ago,46
Early Cretaceous 142-127 million years ago,47
Late Jurassic 153-148 million years ago,48
Mid Jurassic 175-160 million years ago,49
Mid Jurassic 170-160 million years ago,50
Late Jurassic 152-145 million years ago,51
Late Triassic 227-210 million years ago,52
Late Jurassic 159-142 million years ago,53
Late Jurassic 79-67 million years ago,54
Late Cretaceous 81-75 million years ago,55
Late Triassic 225-190 million years ago,56
Late Triassic 221-210 million years ago,57
Late Jurassic 145-140 million years ago,58
Late Cretaceous 81-76 million years ago,59
Early Jurassic 170 million years ago,60
Late Jurassic 154-150 million years ago,61
