species,link,species_id
celestae,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html,1
comahuensis,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html,2
horneri,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html,3
giganteus,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html,4
atokensis,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html,5
baharijensis,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html,6
abakensis,https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html,7
louderbacki,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html,8
sanjuanensis,https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html,9
nesmoi,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html,10
libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html,11
olseni,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html,12
remotus,https://www.nhm.ac.uk/discover/dino-directory/alioramus.html,13
fragilis,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html,14
calvoi,https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html,15
cazaui,https://www.nhm.ac.uk/discover/dino-directory/amargasaurus.html,16
major,https://www.nhm.ac.uk/discover/dino-directory/ammosaurus.html,17
atacis,https://www.nhm.ac.uk/discover/dino-directory/ampelosaurus.html,18
patagonicus,https://www.nhm.ac.uk/discover/dino-directory/amygdalodon.html,19
ornatus,https://www.nhm.ac.uk/discover/dino-directory/anchiceratops.html,20
polyzelous,https://www.nhm.ac.uk/discover/dino-directory/anchisaurus.html,21
magniventris,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html,22
planinychus,https://www.nhm.ac.uk/discover/dino-directory/anserimimus.html,23
wichmannianus,https://www.nhm.ac.uk/discover/dino-directory/antarctosaurus.html,24
ajax,https://www.nhm.ac.uk/discover/dino-directory/apatosaurus.html,25
ischiadicus,https://www.nhm.ac.uk/discover/dino-directory/aragosaurus.html,26
tuberiferus,https://www.nhm.ac.uk/discover/dino-directory/aralosaurus.html,27
oshimai,https://www.nhm.ac.uk/discover/dino-directory/archaeoceratops.html,28
